python3 -u main.py --all --fail-only --split-results --output failures.txt
  --workers 10 --chunksize 1000
Starting search over all distributions. Output -> failures.txt
Using compact batched fast path
Checked 233600000/238878720 instances so far
Checked 233700352/238878720 instances so far
Checked 233800704/238878720 instances so far
Checked 233900032/238878720 instances so far
Checked 234000384/238878720 instances so far
Checked 234100736/238878720 instances so far
Checked 234200064/238878720 instances so far
Checked 234300416/238878720 instances so far
Checked 234400768/238878720 instances so far
Checked 234500096/238878720 instances so far
Checked 234600448/238878720 instances so far
Checked 234700800/238878720 instances so far
Checked 234800128/238878720 instances so far
Checked 234900480/238878720 instances so far
Checked 235000832/238878720 instances so far
Checked 235100160/238878720 instances so far
Checked 235200512/238878720 instances so far
Checked 235300864/238878720 instances so far
Checked 235400192/238878720 instances so far
Checked 235500544/238878720 instances so far
Checked 235600896/238878720 instances so far
Checked 235700224/238878720 instances so far
Checked 235800576/238878720 instances so far
Checked 235900928/238878720 instances so far
Checked 236000256/238878720 instances so far
Checked 236100608/238878720 instances so far
Checked 236200960/238878720 instances so far
Checked 236300288/238878720 instances so far
Checked 236400640/238878720 instances so far
Checked 236500992/238878720 instances so far
Checked 236600320/238878720 instances so far
Checked 236700672/238878720 instances so far
Checked 236800000/238878720 instances so far
Checked 236900352/238878720 instances so far
Checked 237000704/238878720 instances so far
Checked 237100032/238878720 instances so far
Checked 237200384/238878720 instances so far
Checked 237300736/238878720 instances so far
Checked 237400064/238878720 instances so far
Checked 237500416/238878720 instances so far
Checked 237600768/238878720 instances so far
Checked 237700096/238878720 instances so far
Checked 237800448/238878720 instances so far
Checked 237900800/238878720 instances so far
Checked 238000128/238878720 instances so far
Checked 238100480/238878720 instances so far
Checked 238200832/238878720 instances so far
Checked 238300160/238878720 instances so far
Checked 238400512/238878720 instances so far
Checked 238500864/238878720 instances so far
Checked 238600192/238878720 instances so far
Checked 238700544/238878720 instances so far
Checked 238800896/238878720 instances so far
Done. Checked 238878720 instances, wrote 145516 to failures.txt.
Total instances expected: 238878720
Total allocation checks worst-case: 334430208000
  efx_not_efr: 0 -> failures_efx_not_efr.txt
  efr_not_efx: 71340 -> failures_efr_not_efx.txt
  neither: 74176 -> failures_neither.txt
